id	file	context	type	japanese	translation
ACTOR_1_profile	Actors.json	profile	profile	庶民の出だが父母が無理をして入学させてくれた士官学校を\n首席で卒業。将来を期待されている新米騎士。
ACTOR_2_profile	Actors.json	profile	profile	フレイム王国の第二王子だったが兄の急逝により次期国王と\nなった。兄と真逆で性格は豪放磊落、学問より剣術が好き。
ACTOR_3_profile	Actors.json	profile	profile	西の山奥の国セイリュー領主の娘。幼い頃より領民の悪童と\n悪さばかりして育った。粗暴な面もあるが人望が厚く人気者。
ACTOR_4_profile	Actors.json	profile	profile	類稀な頭脳と剣術で天才の名を欲しいままにしている騎士。\n伝説的な騎士であるロイを超える才能とも言われている。
ACTOR_5_profile	Actors.json	profile	profile	かつて天才騎士として王国に名を轟かせた男。\nいまは森の中の生家に籠り隠遁生活を送っている。
ACTOR_6_profile	Actors.json	profile	profile	幼い頃に父より風の紋章を継承した若き騎士。\nそれを抜きにしても天才的な頭脳と剣術を持つ。
ACTOR_7_profile	Actors.json	profile	profile	火と水の紋章を両手に宿した天才騎士。\nかつての部下ウィンと二人で最終局面に挑む。
ACTOR_9_profile	Actors.json	profile	profile	フレイム王国の第二王子だったが兄の急逝により次期国王と\nなった。兄と真逆で性格は豪放磊落、学問より剣術が好き。
ACTOR_10_profile	Actors.json	profile	profile	西の山奥の国セイリュー領主の娘。幼い頃より領民の悪童と\n悪さばかりして育った。粗暴な面もあるが人望が厚く人気者。
ACTOR_11_profile	Actors.json	profile	profile	西の山奥の国セイリュー領主の娘。幼い頃より領民の悪童と\n悪さばかりして育った。粗暴な面もあるが人望が厚く人気者。
ACTOR_14_profile	Actors.json	profile	profile	類稀な頭脳と剣術で天才の名を欲しいままにしている騎士。\n伝説的な騎士であるロイを超える才能とも言われている。
ACTOR_15_profile	Actors.json	profile	profile	フレイム王国の第二王子だったが兄の急逝により次期国王と\nなった。兄と真逆で性格は豪放磊落、学問より剣術が好き。
ACTOR_16_profile	Actors.json	profile	profile	その類まれな身体性能と槍の扱いで将来を期待されていたが、\n食べ過ぎてどんどん太るので心配されている若き兵士。
ACTOR_17_profile	Actors.json	profile	profile	幼い頃に父より風の紋章を継承した若き騎士。\nそれを抜きにしても天才的な頭脳と剣術を持つ。
ACTOR_18_profile	Actors.json	profile	profile	ウィンダム王国騎士団に代々騎士団長を輩出している名門。\nその怪力と胆力で戦場を駆け巡った歴戦の勇士。
ACTOR_19_profile	Actors.json	profile	profile	フレイム王国の王。伝説の王であるバーン王に匹敵すると\n言われるほどの剣の使い手だった。
ACTOR_20_profile	Actors.json	profile	profile	フレイム王国の第一王子。弟のホノオのような剣術や体術の\n才能には恵まれなかったが、類まれな頭脳と洞察力を持つ。
ACTOR_21_profile	Actors.json	profile	profile	西の山奥の国セイリュー領主の娘。幼い頃より身体が弱く、\n剣術よりも本を読んだり植物を愛でて育った。
ACTOR_22_profile	Actors.json	profile	profile	セイリューの元当主人。一体どれほど長生きをしているのか\n誰も分からない。膨大な知識と尋常でない剣の腕を持つ。
ACTOR_23_profile	Actors.json	profile	profile	類稀な頭脳と剣術で天才の名を欲しいままにしている騎士。\n伝説的な騎士であるロイを超える才能とも言われている。
ACTOR_24_profile	Actors.json	profile	profile	ウィンダムの王。幼い頃より武術全般に優れ、騎士団の\n騎士たちにも厳しい鍛錬を求める。年齢不詳。
ACTOR_25_profile	Actors.json	profile	profile	セイリューの鍛冶屋の一族の娘。家業に殆ど関わらず、悪さと\n剣術にだけ励んで育った。気性は激しいが心根は優しい。
ACTOR_26_profile	Actors.json	profile	profile	セイリュー農家の一族の男子。幼い頃より何をやらせても\n器用だった。なぜか村の者の中では悪童とばかり仲が良い。
